stat,base,time,done
f1,dataFelipe1,0.006311655044555664,OK
f2,dataFelipe1,0.003222942352294922,OK
f3,dataFelipe1,0.0056231021881103516,OK
f4,dataFelipe1,0.006536245346069336,OK
n1,dataFelipe1,0.0049457550048828125,OK
n2,dataFelipe1,0.012657880783081055,OK
n3,dataFelipe1,0.016698598861694336,OK
n4,dataFelipe1,0.609389066696167,OK
l1,dataFelipe1,0.004068613052368164,OK
l2,dataFelipe1,0.003597259521484375,OK
l3,dataFelipe1,0.15254688262939453,OK
t1,dataFelipe1,0.5141453742980957,OK
t2,dataFelipe1,1.2874603271484375e-05,OK
f1,dataFelipe2,0.0055277347564697266,OK
f2,dataFelipe2,0.0024847984313964844,OK
f3,dataFelipe2,0.0034759044647216797,OK
f4,dataFelipe2,0.009258031845092773,OK
n1,dataFelipe2,0.004307270050048828,OK
n2,dataFelipe2,0.009917497634887695,OK
n3,dataFelipe2,0.013795852661132812,OK
n4,dataFelipe2,0.6003358364105225,OK
l1,dataFelipe2,0.004139423370361328,OK
l2,dataFelipe2,0.003722667694091797,OK
l3,dataFelipe2,0.16551899909973145,OK
t1,dataFelipe2,0.5293869972229004,OK
t2,dataFelipe2,1.1444091796875e-05,OK
all,all,2.6989524364471436,OK
